DATE;CLOSE
01/02/1990;17.240000
01/03/1990;18.190000
01/04/1990;19.220000
01/05/1990;20.110000
01/08/1990;20.260000
01/09/1990;22.200000
01/10/1990;22.440000
01/11/1990;20.050000
01/12/1990;24.640000
01/15/1990;26.340000
01/16/1990;24.180000
01/17/1990;24.160000
01/18/1990;24.340000
01/19/1990;22.500000
01/22/1990;26.700000
01/23/1990;24.720000
01/24/1990;25.390000
01/25/1990;25.630000
01/26/1990;26.280000
01/29/1990;26.440000
01/30/1990;27.250000
01/31/1990;25.360000
02/01/1990;24.870000
02/02/1990;24.320000
02/05/1990;24.540000
02/06/1990;24.690000
02/07/1990;24.290000
02/08/1990;23.770000
02/09/1990;23.690000
02/12/1990;24.380000
02/13/1990;23.760000
02/14/1990;22.050000
02/15/1990;19.710000
02/16/1990;20.780000
02/20/1990;22.780000
02/21/1990;23.890000
02/22/1990;22.540000
02/23/1990;23.690000
02/26/1990;23.560000
02/27/1990;22.690000
02/28/1990;21.990000
03/01/1990;21.900000
03/02/1990;21.340000
03/05/1990;22.030000
03/06/1990;20.550000
03/07/1990;19.100000
03/08/1990;19.740000
03/09/1990;20.300000
03/12/1990;20.070000
03/13/1990;21.050000
03/14/1990;19.650000
03/15/1990;18.810000
03/16/1990;17.620000
03/19/1990;18.290000
03/20/1990;19.060000
03/21/1990;20.100000
03/22/1990;22.740000
03/23/1990;20.460000
03/26/1990;19.590000
03/27/1990;21.010000
03/28/1990;19.770000
03/29/1990;18.460000
03/30/1990;19.730000
04/02/1990;22.840000
04/03/1990;20.440000
04/04/1990;22.030000
04/05/1990;21.210000
04/06/1990;21.760000
04/09/1990;22.300000
04/10/1990;21.690000
04/11/1990;17.730000
04/12/1990;19.800000
04/16/1990;20.750000
04/17/1990;20.380000
04/18/1990;22.670000
04/19/1990;22.460000
04/20/1990;23.330000
04/23/1990;24.160000
04/24/1990;21.700000
04/25/1990;20.860000
04/26/1990;20.250000
04/27/1990;22.190000
04/30/1990;19.520000
05/01/1990;18.430000
05/02/1990;19.320000
05/03/1990;17.810000
05/04/1990;17.280000
05/07/1990;17.650000
05/08/1990;18.490000
05/09/1990;18.640000
05/10/1990;18.590000
05/11/1990;19.810000
05/14/1990;20.140000
05/15/1990;19.490000
05/16/1990;17.710000
05/17/1990;17.270000
05/18/1990;17.200000
05/21/1990;16.720000
05/22/1990;17.840000
05/23/1990;17.180000
05/24/1990;17.700000
05/25/1990;17.320000
05/29/1990;18.750000
05/30/1990;17.440000
05/31/1990;17.370000
06/01/1990;17.090000
06/04/1990;18.390000
06/05/1990;18.970000
06/06/1990;17.420000
06/07/1990;16.880000
06/08/1990;17.580000
06/11/1990;16.340000
06/12/1990;16.600000
06/13/1990;17.380000
06/14/1990;17.400000
06/15/1990;15.900000
06/18/1990;17.710000
06/19/1990;15.230000
06/20/1990;15.270000
06/21/1990;14.720000
06/22/1990;19.360000
06/25/1990;17.060000
06/26/1990;16.290000
06/27/1990;16.000000
06/28/1990;16.180000
06/29/1990;15.500000
07/02/1990;16.260000
07/03/1990;16.110000
07/05/1990;17.250000
07/06/1990;16.410000
07/09/1990;16.660000
07/10/1990;16.920000
07/11/1990;16.680000
07/12/1990;17.060000
07/13/1990;17.090000
07/16/1990;16.750000
07/17/1990;16.660000
07/18/1990;18.900000
07/19/1990;18.560000
07/20/1990;15.630000
07/23/1990;23.680000
07/24/1990;21.790000
07/25/1990;20.190000
07/26/1990;20.260000
07/27/1990;21.120000
07/30/1990;21.160000
07/31/1990;21.110000
08/01/1990;21.640000
08/02/1990;20.430000
08/03/1990;28.740000
08/06/1990;35.910000
08/07/1990;32.750000
08/08/1990;28.270000
08/09/1990;24.390000
08/10/1990;25.750000
08/13/1990;25.740000
08/14/1990;24.180000
08/15/1990;23.310000
08/16/1990;27.160000
08/17/1990;27.530000
08/20/1990;26.460000
08/21/1990;28.900000
08/22/1990;30.550000
08/23/1990;36.470000
08/24/1990;33.930000
08/27/1990;29.630000
08/28/1990;29.120000
08/29/1990;27.380000
08/30/1990;29.890000
08/31/1990;29.900000
09/04/1990;29.580000
09/05/1990;28.520000
09/06/1990;30.190000
09/07/1990;28.730000
09/10/1990;29.340000
09/11/1990;28.380000
09/12/1990;28.120000
09/13/1990;29.330000
09/14/1990;30.560000
09/17/1990;29.550000
09/18/1990;28.820000
09/19/1990;27.880000
09/20/1990;28.660000
09/21/1990;30.040000
09/24/1990;30.560000
09/25/1990;28.810000
09/26/1990;28.190000
09/27/1990;28.670000
